https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202212/iiia6/beschaeftigung-entgelt-entgelt/entgelt-dwolk-0-202212-xlsx.xlsx?__blob=publicationFile&v=4;;;;
;;;;
krsnr;kreis;medianentgelt;medianentgelt_male;medianentgelt_female
12060;Barnim;2920;2872;3033
12061;Dahme-Spreewald;3020;3033;2987
12062;Elbe-Elster;2734;2718;2779
12063;Havelland;2775;2771;2786
12064;Märkisch-Oderland;2874;2834;2988
12065;Oberhavel;3082;3057;3145
12066;Oberspreewald-Lausitz;3005;3000;3015
12067;Oder-Spree;3016;2967;3163
12068;Ostprignitz-Ruppin;2863;2818;2966
12069;Potsdam-Mittelmark;3014;2992;3078
12070;Prignitz;2782;2789;2761
12071;Spree-Neiße;2943;2962;2888
12072;Teltow-Fläming;2936;3008;2708
12073;Uckermark;2866;2839;2937
13003;Rostock, Hanse- und Universitätsstadt;3271;3308;3221
13004;Schwerin, Landeshauptstadt;3327;3231;3448
13071;Mecklenburgische Seenplatte;2861;2835;2931
13072;Landkreis Rostock;2789;2793;2779
13073;Vorpommern-Rügen;2759;2761;2755
13074;Nordwestmecklenburg;2994;3026;2904
13075;Vorpommern-Greifswald;2841;2775;2962
13076;Ludwigslust-Parchim;2796;2828;2702
14511;Chemnitz, Stadt;3144;3177;3088
14521;Erzgebirgskreis;2651;2699;2499
14522;Mittelsachsen;2765;2808;2636
14523;Vogtlandkreis;2744;2781;2623
14524;Zwickau;3032;3079;2903
14612;Dresden, Stadt;3515;3596;3415
14625;Bautzen;2796;2810;2750
14626;Görlitz;2650;2645;2668
14627;Meißen;2922;2925;2915
14628;Sächsische Schweiz-Osterzgebirge;2791;2800;2767
14713;Leipzig, Stadt;3383;3446;3301
14729;Leipzig;2821;2835;2772
14730;Nordsachsen;2904;2938;2826
15001;Dessau-Roßlau, Stadt;3217;3092;3411
15002;Halle (Saale), Stadt;3271;3246;3302
15003;Magdeburg, Landeshauptstadt;3236;3192;3291
15081;Altmarkkreis Salzwedel;2791;2819;2683
15082;Anhalt-Bitterfeld;2848;2880;2755
15083;Börde;2930;2930;2929
15084;Burgenlandkreis;2834;2862;2750
15085;Harz;2951;2960;2926
15086;Jerichower Land;2869;2862;2896
15087;Mansfeld-Südharz;2830;2808;2895
15088;Saalekreis;3019;3035;2971
15089;Salzlandkreis;2983;2982;2986
15090;Stendal;2913;2854;3080
15091;Wittenberg;2788;2786;2797
16051;Erfurt, Stadt;3166;3180;3148
16052;Gera, Stadt;2857;2820;2914
16053;Jena, Stadt;3683;3778;3567
16054;Suhl, Stadt;2970;2938;3015
16055;Weimar, Stadt;3286;3252;3328
16061;Eichsfeld;2811;2859;2582
16062;Nordhausen;2955;2943;2989
16063;Wartburgkreis;3028;3115;2758
16064;Unstrut-Hainich-Kreis;2745;2750;2723
16065;Kyffhäuserkreis;2890;2869;2940
16066;Schmalkalden-Meiningen;2775;2839;2581
16067;Gotha;2864;2948;2656
16068;Sömmerda;2807;2891;2586
16069;Hildburghausen;2752;2805;2612
16070;Ilm-Kreis;3054;3115;2859
16071;Weimarer Land;2837;2841;2826
16072;Sonneberg;2836;2942;2592
16073;Saalfeld-Rudolstadt;2966;3018;2816
16074;Saale-Holzland-Kreis;2750;2770;2678
16075;Saale-Orla-Kreis;2692;2758;2468
16076;Greiz;2754;2806;2608
16077;Altenburger Land;2745;2773;2666
